Filename,ClassId
02015,38
10212,10
03655,3
11452,4
11820,25
00740,3
09079,5
12547,25
08639,9
01100,35
03234,18
06918,13
11794,1
03593,9
11033,1
02806,10
02474,16
10673,1
08258,33
01561,2
01913,38
04598,5
00321,4
09418,27
00486,12
12126,5
00457,8
00825,4
05309,6
08289,2
04549,18
01217,9
10105,7
02302,12
11745,6
03930,15
03542,11
01676,7
04128,13
12231,35
00791,5
12596,13
05768,33
00036,3
11324,25
03684,33
11483,34
03123,4
10564,31
10916,36
02763,16
07976,9
07504,42
06891,12
06344,10
03868,25
09591,6
05984,3
09236,7
05251,20
04411,7
04863,15
08804,12
08476,14
06082,3
06725,12
07165,11
01089,4
04070,30
08017,2
12369,20
05197,38
09657,5
05630,7
00618,10
05146,10
09121,4
09686,1
08761,23
04706,39
01058,15
07613,3
06053,25
11978,38
08300,18
01439,10
04367,30
05527,32
05955,1
00279,1
09932,12
09540,10
05280,30
06840,2
06432,26
06395,19
07272,10
05062,38
09005,14
04185,23
08645,9
04622,4
07090,30
02069,24
07737,20
06177,5
03629,1
11389,4
08583,7
04996,12
08224,4
04243,14
00888,12
05871,18
05403,26
09464,12
09816,1
03248,1
06516,40
06964,18
07883,17
07356,38
02408,2
07420,1
07852,2
07387,35
10179,3
06260,2
11739,7
03299,2
09312,8
00859,11
05375,5
04947,8
04535,24
08552,3
08920,13
04292,29
06601,8
11358,5
07041,31
10518,32
04154,17
08133,27
08694,8
09773,2
05714,5
00901,24
00573,6
01333,9
08878,13
01494,7
02226,4
07578,22
10786,14
02581,14
10021,38
06338,26
03466,11
03814,13
11661,23
01752,31
00112,16
12315,25
03007,33
06759,1
11200,6
07119,3
02647,31
10832,22
10440,35
10336,5
02696,11
10491,12
02131,9
06788,18
11904,30
11576,5
03771,7
12463,3
00664,13
01783,10
01024,38
11117,10
03310,25
10757,2
02550,1
02922,7
01837,4
01445,31
12002,2
05929,3
00205,9
08642,9
04625,24
04182,31
05065,13
09002,11
06170,10
03189,7
11429,38
07730,5
10269,38
07097,8
05404,20
05876,4
09811,35
09463,11
08223,35
01968,1
04244,38
08584,11
04991,39
07351,35
10608,8
07884,30
06963,8
06511,18
11048,10
11099,35
06267,40
03539,17
07380,3
02379,12
07855,1
07427,16
04295,2
04532,42
04940,9
08927,13
08555,38
09315,2
05372,1
07046,13
02718,10
03158,10
06606,35
09774,7
05713,12
08693,18
04153,33
08134,4
01493,5
04818,10
01334,1
09998,25
00574,13
00906,13
11666,25
06498,5
03813,10
03461,1
02586,12
10026,38
02221,12
10781,22
12312,7
00115,3
01755,5
10447,31
10835,40
02640,12
11207,32
03000,11
06028,26
03776,0
11571,33
11903,9
10496,10
02136,13
07668,10
10331,13
02691,10
01023,35
01784,35
00663,7
12464,4
07209,10
02925,13
02557,4
10750,1
03317,17
06449,4
11110,10
00202,4
09949,9
12005,5
01442,18
01830,7
11827,33
11455,31
03652,17
10215,14
02012,38
08199,40
04659,5
01107,9
12540,25
00747,2
05019,26
10674,26
02473,38
02801,12
03594,14
11034,25
03233,25
11793,9
00481,2
12121,15
05478,21
00326,9
01914,34
01566,25
04238,13
01210,31
08529,25
09369,6
00822,3
00450,9
03545,13
03937,7
11742,8
02305,1
07829,4
10102,17
12591,5
09708,3
00031,17
12236,31
00796,15
01671,23
08148,12
04688,10
02764,2
10911,1
10563,23
11484,2
03124,10
11323,10
03683,4
06343,5
06896,4
07503,38
07971,28
02988,36
04864,1
04416,17
01348,7
08471,5
08803,5
09231,36
00508,1
05256,4
09596,26
05983,25
07162,7
10849,5
06722,5
06085,6
09650,38
05637,21
00169,17
05190,14
01729,4
04077,29
08010,23
08766,16
04701,4
09681,4
12418,7
05141,12
09126,25
06054,11
10898,16
07614,3
05287,13
12079,16
05952,7
05520,34
09547,26
09935,17
01399,12
08307,16
04360,36
07275,42
02959,4
06392,33
06435,5
06847,1
02060,14
07099,11
10267,7
11380,10
03620,16
11855,38
11427,5
03187,31
12295,4
00735,38
12532,13
00092,2
01175,39
03241,15
11046,3
03994,35
02401,12
02873,38
10606,12
01966,7
01514,30
05878,18
00354,12
12153,8
00881,1
00385,25
12625,12
00850,10
00422,19
12182,1
08929,2
01262,9
10170,14
02377,17
07429,1
03290,26
11730,17
06269,23
03537,9
03945,12
11097,38
01603,25
12244,2
00043,12
11351,25
03156,3
06608,10
11884,2
10963,38
10511,10
07048,31
02716,5
10028,24
02588,17
07571,11
07903,13
06496,25
11668,38
06331,10
05583,1
09996,2
00908,38
05224,2
09243,7
08403,39
08871,3
04816,25
04464,13
11209,5
06750,4
10449,3
07110,3
08062,13
04005,29
09185,11
05645,5
09622,38
09154,12
05133,5
05694,17
04773,13
08714,5
02138,36
07666,2
10498,3
06026,13
03778,31
06781,38
04312,20
08375,20
09535,38
09947,3
05920,4
05552,13
09292,10
03319,11
06447,38
06835,38
07207,38
02559,23
09070,12
00749,30
05017,17
08197,10
04657,1
01109,12
08630,15
07742,25
11829,1
06102,22
04591,26
08984,21
01568,2
04236,2
08251,9
09863,8
09411,30
05476,41
05804,12
00328,8
06911,10
06563,5
07484,9
07323,5
07827,28
07455,18
06215,10
03939,9
05300,18
09367,4
08955,5
08527,25
04540,2
04932,42
08280,4
06674,38
07034,31
07793,2
08146,12
04121,7
04686,22
05761,1
09706,4
00798,4
12238,31
00506,32
00974,10
05258,13
09598,2
04418,33
01346,35
01893,4
02253,11
10054,18
02986,25
03861,23
03413,6
06898,18
11614,14
01727,40
04079,24
01080,2
05639,38
00167,14
12360,2
03072,2
11275,31
10392,17
02632,1
10435,14
10847,17
02195,13
10343,33
02144,2
10896,15
11503,38
11971,22
03704,12
12416,13
09128,3
00611,41
01051,18
08768,15
11162,11
03365,16
06849,5
02282,13
10722,4
02957,28
02525,13
10085,34
01397,35
01430,13
01842,2
08309,18
12077,31
05289,23
09549,11
00270,24
04650,4
08637,12
08190,5
09077,10
05010,29
12549,5
06105,38
07745,24
09416,38
09864,33
05803,4
05471,11
12128,38
00488,9
04231,13
08256,2
04596,10
08983,33
07324,12
02808,38
07483,1
06564,14
06916,33
06212,26
07452,25
07820,10
08287,2
08520,36
08952,33
04935,5
04547,7
01219,11
00459,32
05307,2
09360,14
10918,10
07794,35
07033,5
06673,9
05766,39
00038,16
09701,8
12598,35
04681,10
08141,7
01678,38
04126,14
01894,2
08478,7
01341,9
00973,4
00501,30
09238,2
11613,1
03414,10
03866,10
10053,28
02981,5
02254,3
07978,34
05199,13
12367,38
00160,13
09659,26
01087,4
08019,40
01720,10
10840,11
10432,14
02192,4
10395,5
02635,5
11272,39
03075,13
03703,2
11976,22
11504,29
02143,11
10891,7
10344,33
04708,38
01056,11
00616,25
05148,2
12411,9
09688,23
02522,3
02950,2
10082,26
02285,38
10725,2
03362,25
11165,2
05529,1
00277,39
12070,2
01845,11
